X,Y,Type,Account Na,Visiting S,Visiting Z,Visiting C,ZipCity,Visiting_1,Email,Website,Phone,Total Amou,Pipeline,Total Am_1,Delivered,Account Ow,Loyalty,Topaccount,result_num,status,formatted_,place_id,location_t,latlong,layer,path,icon_url
7.1165512,51.3517113,Architect,Kerstin Gierse Architekten,Vogteier Strasse 19,"42555",Velbert (Langenberg),42555 Velbert (Langenberg),Germany,mail@gierse.de,http://www.gierse.de,"4902052962230",EUR,"9709",EUR,"144425",Andreas Kuhnert,B,"1","0",OK,"Vogteier Str. 19, 42555 Velbert, Germany",ChIJo_x032_ZuEcRte6-GJu5Tqk,ROOFTOP,"51.3517113,7.1165512",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
10.0480353,53.7013844,Tiler,Sturm+GrÃ¶ning Wand- und Bodenfliesenverlegegesellschaft mbH,BÃ¼rgermeister-Bombeck-Str. 3,"22851",Norderstedt,22851 Norderstedt,Germany,info@sturm-groening.de,http://www.sturm-groening.de/,+49 (0) 40 94367890,EUR,"0",EUR,"0",Maik Spohler,B,"0","0",OK,"22851 Norderstedt, Germany",ChIJywb2tJYnskcRMKf6xPU9Jhw,APPROXIMATE,"53.7013844,10.0480353",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
8.75865,50.12184,Architect,architektei mey gmbh,Ferdinand-Porsche-StraÃŸe 11,"60386",Frankfurt am Main,60386 Frankfurt am Main,Germany,office@architektei-mey.de,www.architektei-mey.de,+49 69 943378 0,EUR,"31275",EUR,"0",Anja Kreibisch,B,"1","0",OK,"Ferdinand-Porsche-Straße 11, 60386 Frankfurt am Main, Germany",ChIJt5uC7T0OvUcRVY66_p4MJ4Y,ROOFTOP,"50.12184,8.75865",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
10.890807,48.3747749,Architect,Susan Twine Architektin,Lange Gasse 14,"86152",Augsburg,86152 Augsburg,Germany,,,0049 173 5928154,EUR,"0",EUR,"7171",Christian Baldauf,B,"0","0",OK,"Lange G. 14, 86152 Augsburg, Germany",ChIJ_-KymEW9nkcRgm9DcX-Xnq8,ROOFTOP,"48.3747749,10.890807",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
6.7664542,51.2738861,Architect,AIP Consulting GmbH,Klaus-Bungert-Str.3,"40468",DÃ¼sseldorf,40468 DÃ¼sseldorf,Germany,,http://www.aip-consulting.de,490211 8827250,EUR,"0",EUR,"0",Andreas Kuhnert,B,"0","0",OK,"Klaus-Bungert-Straße 3, 40468 Düsseldorf, Germany",ChIJ-d9nRtTJuEcRX8-LnaEIQes,GEOMETRIC_CENTER,"51.2738861,6.766454200000001",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
9.9628024,53.5687557,Tiler,Fliesen Schmidt GmbH,Bellalliancestr. 66,"20259",Hamburg,20259 Hamburg,Germany,,www.fliesen-schmidt-hamburg.de/,040 4398586,EUR,"0",EUR,"0",Maik Spohler,B,"0","0",OK,"Bellealliancestraße 66, 20259 Hamburg, Germany",ChIJyemD3kSPsUcRs7g3RLA7xyc,ROOFTOP,"53.5687557,9.9628024",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
6.3959897,51.2557388,Architect,Aprikari GmbH &Co.KG,Burgstr. 1b,"41747",Viersen,41747 Viersen,Germany,,http://www.aprikari.de,4902162 9191202,EUR,"0",EUR,"0",Andreas Kuhnert,B,"0","0",OK,"Burgstraße 1B, 41747 Viersen, Germany",ChIJWdFYPdaruEcRTf5_wen6Boo,ROOFTOP,"51.2557388,6.395989699999999",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
12.8042958,52.8901171,Tiler,Treskower Innenausbau Gmbh,Erich-Dieckhoff-StraÃŸe 32,"16816",Neuruppin,16816 Neuruppin,Germany,info@treskower-innenausbau.de,Www.treskower-Innenausbau.de,+493391-596235,EUR,"0",EUR,"0",Mike Winter,B,"1","0",OK,"Erich-Dieckhoff-Straße 32, 16816 Neuruppin, Germany",ChIJ4Zwdjj49qUcR-xTZPGTJ3SA,ROOFTOP,"52.8901171,12.8042958",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
6.7851,51.2107285,Architect,BM + P Beucker Hesse Hasselhof Architekten,Hildebrandtstr. 4 / Haus D,"40215",DÃœSSELDORF,40215 DÃœSSELDORF,Germany,bmp@bmp-architekten.de,http://www.bmp-architekten.de,490211 602248 27,EUR,"0",EUR,"197571",Andreas Kuhnert,A,"1","0",OK,"Hildebrandtstraße 4/Haus D, 40215 Düsseldorf, Germany",EjdIaWxkZWJyYW5kdHN0cmHDn2UgNC9IYXVzIEQsIDQwMjE1IETDvHNzZWxkb3JmLCBHZXJtYW55IiIaIAoWChQKEglbw-U0Rsq4RxG5OS0Ez-gQYxIGSGF1cyBE,ROOFTOP,"51.21072849999999,6.785100000000001",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
6.7664542,51.2738861,Architect,Chapman Taylor,Klaus Bungert Str. 3,"40468",DÃœSSELDORF,40468 DÃœSSELDORF,Germany,,http://www.chapmantaylor.de,490211 8828690,EUR,"0",EUR,"125331",Andreas Kuhnert,B,"0","0",OK,"Klaus-Bungert-Straße 3, 40468 Düsseldorf, Germany",ChIJ-d9nRtTJuEcRX8-LnaEIQes,GEOMETRIC_CENTER,"51.2738861,6.766454200000001",Accounts_01,C:/Users/gunna/OneDrive - Royal Mosa/Arbeitsordner/2021/21-Vertriebsleitung/urbaneMaerkte/temp8.shp,
